source_country_iso3_code,destination_country_iso3_code,Diploma,Comparable to NLD,Comparable to AUS,Comparable to GBR
AUS,NLD,Bachelor’s degree,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
AUS,NLD,Honours bachelor’s degree,"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
AUS,NLD,Graduate Certificate,Please contact us for acredential evaluation,,
AUS,NLD,Graduate Diploma,Please contact us for acredential evaluation,,
AUS,NLD,Coursework master’s degree,"usually an HBO master's degree, sometimes a WO master's degree",Coursework master's degree,
AUS,NLD,Research master’s degree,a WO master's degree,Research master's degree,MA/MSc by research
AUT,NLD,Berufsreifeprüfungszeugnisfrom aBerufsschule,an MBO diploma level 2 or 3,,
AUT,NLD,Reife- und Diplomprüfungszeugnisfrom aBerufsbildende Höhere Schule(BHS),a VWO diploma for the general education part,,
AUT,NLD,Reifeprüfungszeugnisfrom aAllgemeinbildende Höhere Schule(AHS),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
AUT,NLD,Reifezeugnisfrom aAllgemeinbildende Höhere Schule(AHS),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
AUT,NLD,Bachelor's degree from aFachhochschule,an HBO bachelor's degree,,
AUT,NLD,Bachelor degree from anUniversität,"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
AUT,NLD,Diplom-Ingenieurfrom aFachhochschule(FH),an HBO bachelor's degree or an HBO master's degree,,
AUT,NLD,Magisterfrom aFachhochschule(FH),an HBO bachelor's degree or an HBO master's degree,,
AUT,NLD,Master's degree from aFachhochschule,an HBO master's degree,,
AUT,NLD,Master's degree from anUniversität,"usually a WO master's degree, sometimes an HBO master's degree",,
AUT,NLD,Diplom-Ingenieurfrom aUniversität,a WO master's degree,Research master's degree,MA/MSc by research
AUT,NLD,Magisterfrom anUniversität,a WO master's degree,Research master's degree,MA/MSc by research
BGD,NLD,Dakhil Certificate,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
BGD,NLD,Secondary School Certificate,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
BGD,NLD,Secondary School Certificate (Vocational),a VMBO-GL diploma,,
BGD,NLD,Alim Certificate,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
BGD,NLD,Higher Secondary Certificate (Business Management),an MBO diploma level 3,,
BGD,NLD,Higher Secondary Certificate (Vocational),an MBO diploma level 3 or 4,,
BGD,NLD,Diploma in Engineering,an MBO diploma level 3 or 4,,
BGD,NLD,Higher Secondary Certificate with the business studies group,a HAVO diploma with vocational subjects,,
BGD,NLD,Higher Secondary Certificate with the humanities group,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
BGD,NLD,Higher Secondary Certificate with the science group,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
BGD,NLD,Pass bachelor's degree,3 years of HBO or 2 years of WO,,Diploma of Higher Education (DipHE) with a study load of 240 CATS
BGD,NLD,Honours bachelor's degree,an HBO bachelor's degree or 2 years of WO,,
BGD,NLD,Professional bachelor's degree(duration: 4 years),an HBO bachelor's degree or 2 years of WO,,
BGD,NLD,Professional bachelor's degree(duration: 5 years),"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
BGD,NLD,Bachelor of Education,Please contact us for acredential evaluation.,,
BGD,NLD,Master's degree,Please contact us for acredential evaluation.,,
BGD,NLD,Master of Philosophy,a WO master's degree,Research master's degree,MA/MSc by research
BEL,NLD,Diploma van Secundair Onderwijs - Beroepssecundair Onderwijs (BSO),"a HAVO diploma for the general education part, an MBO diploma level 3 for the vocational education part",,
BEL,NLD,Diploma van Secundair Onderwijs-Kunst Secundair Onderwijs (KSO),"a VWO diploma, sometimes an HAVO diploma with vocational subjects",,
BEL,NLD,Diploma van Secundair Onderwijs-Technisch Secundair Onderwijs (TSO),"a VWO diploma, sometimes an HAVO diploma with vocational subjects",,
BEL,NLD,Diploma van Secundair Onderwijs-Algemeen Secundair Onderwijs (ASO),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
BEL,NLD,Diploma van Gegradueerde,an associate degree,,
BEL,NLD,Bachelorvia aprofessioneel gerichte bacheloropleiding,an HBO bachelor’s degree,,
BEL,NLD,Bachelorvia abachelor-na-bacheloropleiding,an HBO bachelor’s degree,,
BEL,NLD,Bachelorvia anacademisch gerichte bacheloropleiding,a WO bachelor’s degree,,
BEL,NLD,Mastervia amasteropleiding,a WO master’s degree,,
BEL,NLD,Mastervia amaster-na-masteropleiding,a WO master's degree,Research master's degree,MA/MSc by research
BEL,NLD,Certificat d’enseignement secondaire supérieur-enseignement professionnel,a HAVO diploma for the general education part and an MBO diploma level 3 for the vocational education part.,,
BEL,NLD,Certificat d’enseignement secondaire supérieur-enseignement artistique,"a VWO diploma, sometimes a HAVO diploma with vocational subjects",,
BEL,NLD,Certificat d’enseignement secondaire supérieur-enseignement technique,"a VWO diploma, sometimes a HAVO diploma with vocational subjects",,
BEL,NLD,Certificat d’enseignement secondaire supérieur-enseignement général,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
BEL,NLD,Grade de Bachelier (professionnalisant/de type court),an HBO bachelor's degree,,
BEL,NLD,Bachelier de spécialisation,an HBO bachelor's degree,,
BEL,NLD,Grade de Bachelier (de transition/de type long),a WO bachelor's degree,,
BEL,NLD,Grade de Master,a WO master's degree,Research master's degree,MA/MSc by research
BEL,NLD,Master de spécialisation,a WO master's degree,Research master's degree,MA/MSc by research
UNK,NLD,Diploma o položenom maturskom ispitu/Diploma o završenoj srednjoj školi(or a similar name),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,"Diploma of a first cycle study programme (Diploma o stečenoj akademskoj tituli i stručnom zvanju bakalaureat,Diploma o završenom stepenu prvog ciklusa studijaor a similar name)",an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
UNK,NLD,"Diplomirani+ field of study,duration: 4 years(started before 2007-2008)",an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
UNK,NLD,"Diplomirani+ field of study, duration: longer than 4 years(started before 2007-2008)",Please contact us for acredential evaluation,,
UNK,NLD,"Diploma of a second cycle study programme (Diploma o stečenoj akademskoj tituli i zvanju magistar,Diploma o sticanju naučnog stepena magistraor a similar name)",an HBO master's degree or a WO master's degree,,
UNK,NLD,Integrated master's degree,a WO master's degree,Research master's degree,MA/MSc by research
BRA,NLD,Diploma de ensino médio com habilitação,"an MBO diploma level 1, 2, 3 or 4",,
BRA,NLD,Técnico de nivel médio,"an MBO diploma level 1, 2, 3 or 4",,
BRA,NLD,Certificado de conclusão do 2° grau,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
BRA,NLD,Certificado de conclusão do ensino médio,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
BRA,NLD,Tecnólogo,1 to 3 years of HBO (astudy loadof 1600 hours is comparable to 1 year of HBO),,
BRA,NLD,Bacharel(a),"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
BRA,NLD,Licenciada/oin teacher training,an HBO bachelor's degree,,
BRA,NLD,Licenciada/oin another field of study,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
BRA,NLD,"Título profissional, such as anEngenheira/oor aPsicóloga/o","usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
BRA,NLD,Mestre,a HBO or WO master's degree,,
BGR,NLD,Diploma za sredno obrazovanie(Диплома за средно образование)with a professional qualification (квалификация) - vocational stream,a VWO diploma for the general education part,,
BGR,NLD,Diploma za sredno obrazovanie(Диплома за средно образование)-academic stream,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
BGR,NLD,Diplom za visshe obrazovanie na obrazovatelno kvalifikatsionna stepen (Profesionalen) Bakalavr(Диплома за висше образование на образователно-квалификационна степен бакалавр),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
BGR,NLD,Diploma za visshe obrazovanie na obrazovatelno kvalifikatsionna stepen Magister (Диплома за висше образование на образователно-квалификационна степен магистер),an HBO master's degree or a WO master's degree,,
CMR,NLD,Certificat d’Aptitude Professionnelle(CAP),an MBO diploma level 1 or 2,,
CMR,NLD,Brevet d’études du premier cycle du second degré,a VMBO-T diploma or 4 years of HAVO,,
CMR,NLD,"General Certificate of Education - Ordinary Levelwith grades A, B or C for at least 5 subjects",at least a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (A* to C or 9 to 4)
CMR,NLD,General Certificate of Education - Ordinary Level (Commercial),at least a VMBO-T diploma for the general education part,,
CMR,NLD,General Certificate of Education – Ordinary Level (Technical),at least a VMBO-T diploma for the general education part,,
CMR,NLD,Probatoire,an MBO diploma level 2 or 3,,
CMR,NLD,Baccalauréat Technique,an MBO diploma level 3 or 4,,
CMR,NLD,Brevet Professionnel,an MBO diploma level 3 or 4,,
CMR,NLD,Brevet de Technicien,an MBO diploma level 3 or 4,,
CMR,NLD,Diplôme de Technicien,an MBO diploma level 3 or 4,,
CMR,NLD,"The following combination:a General Certificate of Education - Ordinary Level with grades A, B or C for at least 4 subjects; anda General Certificate of Education - Advanced Level with passing grades for at least 2 subjects","usually a HAVO diploma, sometimes a VWO diploma",,
CMR,NLD,General Certificate of Education - Advanced Level (Commercial),"usually a HAVO diploma, sometimes a VWO diploma",,
CMR,NLD,General Certificate of Education - Advanced Level (Technical),"usually a HAVO diploma, sometimes a VWO diploma",,
CMR,NLD,"Diplôme de Technicien Supérieur de la Santé(DTS),duration: 2 years",1 year of HBO,Diploma (AQF Level 5),
CMR,NLD,"Diplôme en Soins Infirmiers(DSI), duration: 2 years",1 year of HBO,Diploma (AQF Level 5),
CMR,NLD,Brevet de Technicien Supérieur(BTS),1 to 2 years of HBO,,
CMR,NLD,Diplôme Universitaire de Technologie(DUT),1 to 2 years of HBO,,
CMR,NLD,Higher National Diploma (HND),1 to 2 years of HBO,,
CMR,NLD,"Diplôme de Technicien Supérieur de la Santé(DTS), duration: 3 years",an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
CMR,NLD,"Diplôme en Soins Infirmiers(DSI), duration: 3 years",an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
CMR,NLD,Diplôme d’études universitaires génerales(DEUG)/Associate Degree,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
CMR,NLD,Diplôme d’Ingénieur des Travaux(DIT),3 years of HBO,,
CMR,NLD,Diplôme d’Ingénieur de Conception(DIC),3 years of HBO,,
CMR,NLD,Licence(bachelor)(since 2008),an HBO bachelor's degree or 2 years of WO,,
CMR,NLD,Diplôme de Docteur en Médecine(DDM),1 year of a 3 year WO master's programme in medicine,,
CMR,NLD,Maîtrise professionnelle,at least an HBO bachelor's degree,,
CMR,NLD,Diplôme d’Ingénieur Agronome(DIA),a WO bachelor's degree or an HBO master's degree,,
CMR,NLD,Maîtrise,a WO bachelor's degree or an HBO master's degree,,
CMR,NLD,Master's degree(without a thesis),a WO bachelor's degree or an HBO master's degree,,
CMR,NLD,Master's degree (with a thesis),a 1-year WO master's degree,,
CAN,NLD,Diplôme d’Études Secondaires(DES),4 years of VWO,,
CAN,NLD,"British Columbia-Certificate of Graduation(Dogwooddiploma) with:a pass for at least 5 Grade 12 subjects, including English; andan average of at least 70%.",at least a HAVO diploma,,
CAN,NLD,British Columbia-Certificate of Graduation(Dogwooddiploma) with subjects or study results that (partly) differ from those mentioned above,Please contact us for acredential evaluation,,
CAN,NLD,Ontario Secondary School Diploma(OSSD)with:an average of at least 65%;a pass for at least 6 grade 12 subjects (with the subject codes M or U);English as one of the subjects listed above; anda pass for a mathematics subject (with the subject code M or U) in either grade 11 or 12 .,at least a HAVO diploma,,
CAN,NLD,Ontario Secondary School Diploma(OSSD) with subjects or study results that (partly) differ from those mentioned above,Please contact us for acredential evaluation,,
CAN,NLD,Diplôme d’Études Collégiales(DEC) with the addition'préuniversitaire',a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
CAN,NLD,Diplôme d’Études Collégiales(DEC)with the addition'de formation en métiers d’art',a VWO diploma with vocational subjects,,
CAN,NLD,Diplôme d’Études Collégiales(DEC)with the addition'de formation technique',a VWO diploma with vocational subjects,,
CAN,NLD,Certificatefrom acollege,1 year of HBO,Diploma (AQF Level 5),
CAN,NLD,Diploma from acollege (duration: 2 years),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
CAN,NLD,Associate Degree from acollege,1 year of WO,,
CAN,NLD,"General bachelor’s degreefrom acollege, duration: 3 years (English-speaking province)","usually an HBO bachelor's degree, sometimes 2 years of WO",,
CAN,NLD,"General bachelor’s degreefrom a university, duration: 3 years (English-speaking province)",2 years of WO or an HBO bachelor's degree,,
CAN,NLD,"Honours bachelor’s degreefrom acollege, duration: 4 years (English-speaking province)",an HBO bachelor's degree,,
CAN,NLD,"Honours bachelor’s degreefrom auniversity, duration: 4 years (English-speaking province)",a WO bachelor's degree,,
CAN,NLD,Baccalauréat(Québec),"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
CAN,NLD,Bachelier(Québec),"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
CAN,NLD,Professional master’s degree(English-speaking province),an HBO master's degree,,
CAN,NLD,Research master’s degree(English-speaking province),a WO master's degree,Research master's degree,MA/MSc by research
CAN,NLD,Maîtrise professionnelle(Québec),an HBO master's degree,,
CAN,NLD,Maîtrise de recherche(Québec),a WO master's degree,Research master's degree,MA/MSc by research
CHL,NLD,Técnico de nivel médio,"an MBO diploma level 1, 2, 3 or 4",,
CHL,NLD,Técnico de nivel superior,at least an MBO diploma level 4,,
CHL,NLD,Licencia de educación mediahumanístico-científica,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
CHL,NLD,Licencia de enseñanza media humanístico-científica,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
CHL,NLD,Licencia de educación media técnico-profesional,a HAVO diploma with vocational subjects,,
CHL,NLD,Licencia de enseñanza media técnico-profesional,a HAVO diploma with vocational subjects,,
CHL,NLD,Título profesionalfrom aninstituto profesional,at most an HBO bachelor's degree,,
CHL,NLD,Título profesionalfrom anuniversidad,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
CHL,NLD,Licenciada/o,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
CHL,NLD,Magister,an HBO master's degree or a WO master's degree,,
CHN,NLD,Vocational senior middle school graduation certificate,an MBO diploma level 2 or 3,,
CHN,NLD,Senior middle school graduation certificate,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
CHN,NLD,Graduation certificate from a 2-year non-degree programme (zhuanke),2 years of HBO,,
CHN,NLD,Graduation certificate from a 3-year non-degree programme (zhuanke),3 years of HBO,,
CHN,NLD,Bachelor degree certificate,an HBO bachelor's degree or 2 years of WO,,
CHN,NLD,Bachelor degree certificatefrom aProject 211 institution(up until August 2021) orFirst Class University(from September 2021),an HBO or WO bachelor's degree,,
CHN,NLD,Master degree certificate,an HBO or WO master's degree,,
COL,NLD,Técnico profesional,"an MBO diploma level 2, 3 or 4",,
COL,NLD,Tecnóloga/o,at least an MBO diploma level 4,,
COL,NLD,Bachiller académico,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
COL,NLD,Licenciada/o,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
COL,NLD,Título profesional,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
COL,NLD,Especialista,at least an HBO bachelor's degree or a WO bachelor's degree,,
COL,NLD,Magister,an HBO master's degree or a WO master's degree,,
UNK,NLD,Técnico de nivel medio,"an MBO diploma level 2, 3 or 4",,
UNK,NLD,Bachiller en educación media(rama académica),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Diplomada/o,2 or 3 years of HBO,,
UNK,NLD,Bachillerato(duration: 4 years),an HBO bachelor's degree or 2 years of WO,,
UNK,NLD,Licenciatura(duration: 5 years),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
UNK,NLD,Maestría,an HBO master's degree or a WO master's degree,,
HRV,NLD,"Svjedodžba o završnome radu(diploma of completed final work),duration: 4 years(as of 2010)",a HAVO diploma for the general education part,,
HRV,NLD,Svjedodžba o zavrsnom ispitu(certificate of final exam)(up to and including 2009),a HAVO diploma for the general education part,,
HRV,NLD,Svjedodžba o državnoj maturi(certificate of state matura exam)(from 2010 onwards),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
HRV,NLD,Svjedodžba o maturi(certificate of matura exam)(up to and including 2009),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
HRV,NLD,Potvrda o položenim ispitima državne mature(state matura diploma) including the 3 compulsory subjects:Croatian (or own language);mathematics; anda foreign language.,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
HRV,NLD,Stručni Pristupnik/Pristupnica(professional associate degree),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
HRV,NLD,Stručni Prvostupnik/Prvostupnica(professional baccalaureas/baccalaurea),an HBO bachelor's degree,,
